kargo_id,satis_id,alici_adi,sehir,kargo_durumu,kargoya_verilis_tarihi,teslimat_tarihi
KRG-1087,1087,Elif S.,Samsun,Teslim Edildi,2025-05-19,2025-05-20
KRG-1088,1088,Caner B.,Adana,Teslim Edildi,2025-05-19,2025-05-21
KRG-1089,1089,Caner B.,Adana,Teslim Edildi,2025-05-19,2025-05-22
KRG-1090,1090,Mehmet D.,Samsun,Teslim Edildi,2025-05-19,2025-05-22
KRG-1091,1091,Caner B.,Antalya,Teslim Edildi,2025-05-19,2025-05-20
KRG-1092,1092,Elif S.,Kocaeli,Teslim Edildi,2025-05-19,2025-05-22
KRG-1093,1093,Zeynep C.,İzmir,Teslim Edildi,2025-05-19,2025-05-20
KRG-1094,1094,Cemre Y.,Balıkesir,Teslim Edildi,2025-05-19,2025-05-20
KRG-1095,1095,Caner B.,Bursa,Teslim Edildi,2025-05-21,2025-05-22
KRG-1096,1096,Fatma A.,Kocaeli,Teslim Edildi,2025-05-20,2025-05-22
KRG-1097,1097,Burak T.,Samsun,Teslim Edildi,2025-05-21,2025-05-22
KRG-1098,1098,Burak T.,Bursa,Teslim Edildi,2025-05-20,2025-05-23
KRG-1099,1099,Burak T.,Bursa,Teslim Edildi,2025-05-21,2025-05-22
KRG-1100,1100,Zeynep C.,İstanbul,İade Teslim Alındı,2025-05-21,2025-05-23
KRG-1101,1101,Mehmet D.,Kocaeli,Teslim Edildi,2025-05-21,2025-05-22
KRG-1102,1102,Elif S.,Kocaeli,İade Teslim Alındı,2025-05-21,2025-05-24
KRG-1103,1103,Burak T.,Adana,Teslim Edildi,2025-05-22,2025-05-24
KRG-1104,1104,Zeynep C.,Antalya,Teslim Edildi,2025-05-22,2025-05-24
KRG-1105,1105,Ali M.,Kocaeli,Teslim Edildi,2025-05-22,2025-05-25
KRG-1106,1106,Caner B.,Bursa,Teslim Edildi,2025-05-21,2025-05-24
KRG-1107,1107,Ayşe K.,İzmir,Teslim Edildi,2025-05-21,2025-05-22
KRG-1108,1108,Fatma A.,Ankara,Teslim Edildi,2025-05-22,2025-05-25
KRG-1109,1109,Burak T.,İstanbul,Teslim Edildi,2025-05-22,2025-05-23
KRG-1110,1110,Ahmet Y.,Samsun,Teslim Edildi,2025-05-21,2025-05-22
KRG-1111,1111,Caner B.,Eskişehir,Teslim Edildi,2025-05-21,2025-05-24
KRG-1112,1112,Ali M.,Adana,İade Teslim Alındı,2025-05-22,2025-05-23
KRG-1113,1113,Fatma A.,Antalya,Teslim Edildi,2025-05-22,2025-05-23
KRG-1114,1114,Burak T.,İzmir,Teslim Edildi,2025-05-23,2025-05-25
KRG-1117,1117,Burak T.,İzmir,Teslim Edildi,2025-05-22,2025-05-23
KRG-1118,1118,Burak T.,Balıkesir,Teslim Edildi,2025-05-23,2025-05-26
KRG-1119,1119,Caner B.,Eskişehir,Teslim Edildi,2025-05-22,2025-05-23
KRG-1120,1120,Ali M.,İstanbul,Teslim Edildi,2025-05-22,2025-05-23
KRG-1121,1121,Ayşe K.,İstanbul,Teslim Edildi,2025-05-22,2025-05-23
KRG-1123,1123,Mehmet D.,Kocaeli,Teslim Edildi,2025-05-23,2025-05-25
KRG-1124,1124,Zeynep C.,Antalya,Teslim Edildi,2025-05-23,2025-05-24
KRG-1125,1125,Ayşe K.,İzmir,Teslim Edildi,2025-05-24,2025-05-25
KRG-1126,1126,Caner B.,Samsun,Teslim Edildi,2025-05-23,2025-05-25
KRG-1127,1127,Fatma A.,Ankara,İade Teslim Alındı,2025-05-23,2025-05-25
KRG-1128,1128,Ayşe K.,Antalya,Teslim Edildi,2025-05-24,2025-05-26
KRG-1129,1129,Cemre Y.,İstanbul,Teslim Edildi,2025-05-24,2025-05-26
KRG-1130,1130,Ayşe K.,Adana,Teslim Edildi,2025-05-24,2025-05-25
KRG-1131,1131,Zeynep C.,Ankara,Teslim Edildi,2025-05-23,2025-05-25
KRG-1132,1132,Mehmet D.,Eskişehir,Teslim Edildi,2025-05-23,2025-05-24
KRG-1133,1133,Caner B.,Samsun,Teslim Edildi,2025-05-23,2025-05-26
KRG-1134,1134,Zeynep C.,Eskişehir,Teslim Edildi,2025-05-24,2025-05-25
KRG-1135,1135,Caner B.,Kocaeli,Teslim Edildi,2025-05-24,2025-05-27
KRG-1136,1136,Burak T.,Balıkesir,Teslim Edildi,2025-05-25,2025-05-28
KRG-1137,1137,Zeynep C.,Bursa,Teslim Edildi,2025-05-24,2025-05-25
KRG-1138,1138,Cemre Y.,Antalya,Teslim Edildi,2025-05-24,2025-05-25
KRG-1139,1139,Ayşe K.,Bursa,Teslim Edildi,2025-05-24,2025-05-27
KRG-1140,1140,Zeynep C.,Kocaeli,Teslim Edildi,2025-05-24,2025-05-27
KRG-1141,1141,Fatma A.,Eskişehir,Teslim Edildi,2025-05-24,2025-05-26
KRG-1142,1142,Elif S.,Kocaeli,Teslim Edildi,2025-05-24,2025-05-27
KRG-1143,1143,Ali M.,Balıkesir,Teslim Edildi,2025-05-24,2025-05-27
KRG-1144,1144,Caner B.,Bursa,Teslim Edildi,2025-05-24,2025-05-27
KRG-1145,1145,Ali M.,İzmir,Teslim Edildi,2025-05-24,2025-05-26
KRG-1146,1146,Cemre Y.,Adana,Teslim Edildi,2025-05-25,2025-05-27
KRG-1147,1147,Caner B.,Bursa,İade Teslim Alındı,2025-05-24,2025-05-27
KRG-1148,1148,Ali M.,İzmir,Teslim Edildi,2025-05-25,2025-05-26
KRG-1149,1149,Caner B.,İzmir,İade Teslim Alındı,2025-05-25,2025-05-27
KRG-1150,1150,Ahmet Y.,Samsun,Teslim Edildi,2025-05-24,2025-05-27
KRG-1151,1151,Mehmet D.,İstanbul,Teslim Edildi,2025-05-25,2025-05-27
KRG-1152,1152,Ayşe K.,Eskişehir,Teslim Edildi,2025-05-25,2025-05-26
KRG-1153,1153,Ahmet Y.,İzmir,Teslim Edildi,2025-05-24,2025-05-26
KRG-1154,1154,Ayşe K.,Bursa,Teslim Edildi,2025-05-24,2025-05-25
KRG-1155,1155,Cemre Y.,Samsun,Teslim Edildi,2025-05-24,2025-05-27
KRG-1156,1156,Caner B.,Samsun,Teslim Edildi,2025-05-26,2025-05-27
KRG-1157,1157,Ahmet Y.,Samsun,Teslim Edildi,2025-05-26,2025-05-27
KRG-1158,1158,Fatma A.,Antalya,Teslim Edildi,2025-05-25,2025-05-27
KRG-1159,1159,Ali M.,Ankara,Teslim Edildi,2025-05-26,2025-05-27
KRG-1160,1160,Cemre Y.,Kocaeli,Teslim Edildi,2025-05-26,2025-05-29
KRG-1161,1161,Caner B.,Kocaeli,Teslim Edildi,2025-05-26,2025-05-29
KRG-1162,1162,Cemre Y.,Bursa,Teslim Edildi,2025-05-25,2025-05-28
KRG-1163,1163,Mehmet D.,Antalya,Teslim Edildi,2025-05-26,2025-05-29
KRG-1164,1164,Caner B.,Samsun,Teslim Edildi,2025-05-25,2025-05-26
KRG-1165,1165,Zeynep C.,Ankara,Teslim Edildi,2025-05-26,2025-05-27
KRG-1166,1166,Caner B.,Adana,Teslim Edildi,2025-05-25,2025-05-28
KRG-1167,1167,Ahmet Y.,Eskişehir,Teslim Edildi,2025-05-25,2025-05-27
KRG-1168,1168,Cemre Y.,Samsun,Teslim Edildi,2025-05-27,2025-05-30
KRG-1169,1169,Caner B.,Samsun,İade Teslim Alındı,2025-05-26,2025-05-29
KRG-1170,1170,Ali M.,Kocaeli,Teslim Edildi,2025-05-27,2025-05-28
KRG-1171,1171,Burak T.,Kocaeli,Teslim Edildi,2025-05-27,2025-05-30
KRG-1172,1172,Elif S.,Balıkesir,Teslim Edildi,2025-05-27,2025-05-29
KRG-1173,1173,Burak T.,Kocaeli,Teslim Edildi,2025-05-26,2025-05-27
KRG-1175,1175,Elif S.,Ankara,Teslim Edildi,2025-05-27,2025-05-29
KRG-1176,1176,Ahmet Y.,Adana,Teslim Edildi,2025-05-26,2025-05-27
KRG-1177,1177,Elif S.,Samsun,Teslim Edildi,2025-05-27,2025-05-28
KRG-1178,1178,Caner B.,Adana,Teslim Edildi,2025-05-28,2025-05-29
KRG-1179,1179,Zeynep C.,Ankara,Teslim Edildi,2025-05-28,2025-05-31
KRG-1180,1180,Mehmet D.,Antalya,Teslim Edildi,2025-05-28,2025-05-31
KRG-1181,1181,Fatma A.,Ankara,Teslim Edildi,2025-05-27,2025-05-28
KRG-1182,1182,Zeynep C.,Antalya,Teslim Edildi,2025-05-27,2025-05-30
KRG-1183,1183,Zeynep C.,Bursa,Teslim Edildi,2025-05-27,2025-05-30
KRG-1184,1184,Cemre Y.,Adana,Teslim Edildi,2025-05-27,2025-05-29
KRG-1185,1185,Caner B.,Eskişehir,Teslim Edildi,2025-05-27,2025-05-29
KRG-1186,1186,Ahmet Y.,Antalya,Teslim Edildi,2025-05-27,2025-05-28
KRG-1187,1187,Zeynep C.,İzmir,Teslim Edildi,2025-05-28,2025-05-30
KRG-1188,1188,Ali M.,Adana,Teslim Edildi,2025-05-27,2025-05-29
KRG-1190,1190,Ahmet Y.,Balıkesir,Teslim Edildi,2025-05-28,2025-05-31
KRG-1191,1191,Burak T.,İzmir,Teslim Edildi,2025-05-28,2025-05-31
KRG-1192,1192,Cemre Y.,Balıkesir,Teslim Edildi,2025-05-28,2025-05-30
KRG-1193,1193,Ayşe K.,Adana,Teslim Edildi,2025-05-29,2025-06-01
KRG-1194,1194,Burak T.,İzmir,Teslim Edildi,2025-05-28,2025-05-29
KRG-1195,1195,Elif S.,Samsun,Teslim Edildi,2025-05-28,2025-05-29
KRG-1196,1196,Ali M.,Eskişehir,Teslim Edildi,2025-05-29,2025-05-30
KRG-1197,1197,Ali M.,İstanbul,Teslim Edildi,2025-05-28,2025-05-31
KRG-1198,1198,Fatma A.,Ankara,Teslim Edildi,2025-05-30,2025-06-01
KRG-1199,1199,Ayşe K.,Kocaeli,Teslim Edildi,2025-05-29,2025-05-31
KRG-1200,1200,Ahmet Y.,Balıkesir,Teslim Edildi,2025-05-29,2025-06-01
KRG-1201,1201,Burak T.,İzmir,Teslim Edildi,2025-05-29,2025-05-31
KRG-1202,1202,Mehmet D.,İzmir,Teslim Edildi,2025-05-29,2025-05-31
KRG-1203,1203,Cemre Y.,Bursa,Teslim Edildi,2025-05-29,2025-05-30
KRG-1204,1204,Zeynep C.,Antalya,Teslim Edildi,2025-05-30,2025-06-01
KRG-1205,1205,Caner B.,Adana,Teslim Edildi,2025-05-30,2025-05-31
KRG-1206,1206,Cemre Y.,Antalya,Teslim Edildi,2025-05-29,2025-05-30
KRG-1207,1207,Zeynep C.,Antalya,Teslim Edildi,2025-05-29,2025-05-31
KRG-1208,1208,Ayşe K.,Bursa,Teslim Edildi,2025-05-30,2025-06-01
KRG-1209,1209,Caner B.,İstanbul,Teslim Edildi,2025-05-29,2025-05-31
KRG-1210,1210,Ahmet Y.,Samsun,Teslim Edildi,2025-05-30,2025-06-02
KRG-1211,1211,Cemre Y.,Kocaeli,Teslim Edildi,2025-05-30,2025-06-02
KRG-1212,1212,Fatma A.,Bursa,Teslim Edildi,2025-05-31,2025-06-01
KRG-1213,1213,Mehmet D.,Ankara,Teslim Edildi,2025-05-30,2025-06-01
KRG-1214,1214,Zeynep C.,İstanbul,Teslim Edildi,2025-05-30,2025-06-02
KRG-1215,1215,Caner B.,Balıkesir,Teslim Edildi,2025-05-31,2025-06-01
KRG-1216,1216,Ali M.,Balıkesir,Teslim Edildi,2025-05-30,2025-06-02
KRG-1218,1218,Caner B.,Balıkesir,Teslim Edildi,2025-05-31,2025-06-02
KRG-1219,1219,Mehmet D.,Bursa,Teslim Edildi,2025-05-31,2025-06-02
KRG-1220,1220,Ali M.,Balıkesir,Teslim Edildi,2025-05-30,2025-06-01
KRG-1221,1221,Ayşe K.,Kocaeli,Teslim Edildi,2025-05-31,2025-06-02
KRG-1222,1222,Cemre Y.,Eskişehir,Teslim Edildi,2025-05-31,2025-06-03
KRG-1224,1224,Ali M.,Balıkesir,Teslim Edildi,2025-06-01,2025-06-02
KRG-1225,1225,Zeynep C.,Antalya,Teslim Edildi,2025-05-31,2025-06-02
KRG-1226,1226,Ahmet Y.,Antalya,Teslim Edildi,2025-06-01,2025-06-02
KRG-1227,1227,Ali M.,İzmir,Teslim Edildi,2025-06-01,2025-06-04
KRG-1228,1228,Ali M.,Eskişehir,Teslim Edildi,2025-06-01,2025-06-04
KRG-1229,1229,Ayşe K.,Kocaeli,Teslim Edildi,2025-05-31,2025-06-03
KRG-1230,1230,Elif S.,Bursa,İade Teslim Alındı,2025-06-02,2025-06-05
KRG-1231,1231,Ayşe K.,Balıkesir,İade Teslim Alındı,2025-06-02,2025-06-05
KRG-1232,1232,Ahmet Y.,Eskişehir,İade Teslim Alındı,2025-06-02,2025-06-04
KRG-1233,1233,Ayşe K.,Bursa,İade Teslim Alındı,2025-06-02,2025-06-05
KRG-1234,1234,Ahmet Y.,Balıkesir,Teslim Edildi,2025-06-02,2025-06-05
KRG-1235,1235,Fatma A.,Ankara,Teslim Edildi,2025-06-01,2025-06-02
KRG-1236,1236,Fatma A.,Bursa,Teslim Edildi,2025-06-02,2025-06-05
KRG-1237,1237,Ahmet Y.,Antalya,Teslim Edildi,2025-06-02,2025-06-05
KRG-1238,1238,Ali M.,Antalya,Teslim Edildi,2025-06-01,2025-06-04
KRG-1239,1239,Mehmet D.,İstanbul,Teslim Edildi,2025-06-02,2025-06-04
KRG-1240,1240,Elif S.,İstanbul,Teslim Edildi,2025-06-01,2025-06-03
KRG-1241,1241,Burak T.,Adana,Teslim Edildi,2025-06-02,2025-06-03
KRG-1242,1242,Elif S.,Adana,Teslim Edildi,2025-06-02,2025-06-05
KRG-1243,1243,Cemre Y.,İstanbul,Teslim Edildi,2025-06-02,2025-06-04
KRG-1245,1245,Ahmet Y.,Kocaeli,Teslim Edildi,2025-06-02,2025-06-04
KRG-1246,1246,Zeynep C.,Kocaeli,Teslim Edildi,2025-06-01,2025-06-04
KRG-1247,1247,Mehmet D.,Ankara,Teslim Edildi,2025-06-02,2025-06-05
KRG-1248,1248,Ali M.,Balıkesir,Teslim Edildi,2025-06-01,2025-06-04
KRG-1249,1249,Zeynep C.,Adana,Teslim Edildi,2025-06-01,2025-06-03
KRG-1250,1250,Ayşe K.,Adana,Teslim Edildi,2025-06-02,2025-06-03
KRG-1251,1251,Fatma A.,Eskişehir,Teslim Edildi,2025-06-01,2025-06-04
KRG-1252,1252,Ayşe K.,Balıkesir,Teslim Edildi,2025-06-02,2025-06-03
KRG-1253,1253,Mehmet D.,Kocaeli,Teslim Edildi,2025-06-01,2025-06-02
KRG-1254,1254,Burak T.,Ankara,Teslim Edildi,2025-06-01,2025-06-02
KRG-1255,1255,Ali M.,İstanbul,Teslim Edildi,2025-06-01,2025-06-03
KRG-1256,1256,Ayşe K.,Eskişehir,Teslim Edildi,2025-06-01,2025-06-03
KRG-1258,1258,Cemre Y.,Antalya,Teslim Edildi,2025-06-03,2025-06-06
KRG-1259,1259,Mehmet D.,Kocaeli,Teslim Edildi,2025-06-02,2025-06-05
KRG-1260,1260,Elif S.,Ankara,Teslim Edildi,2025-06-03,2025-06-05
KRG-1261,1261,Ali M.,Samsun,Teslim Edildi,2025-06-03,2025-06-04
KRG-1262,1262,Cemre Y.,Antalya,Teslim Edildi,2025-06-02,2025-06-05
KRG-1263,1263,Elif S.,Balıkesir,Teslim Edildi,2025-06-02,2025-06-03
KRG-1264,1264,Burak T.,Ankara,Teslim Edildi,2025-06-03,2025-06-04
KRG-1265,1265,Ayşe K.,Adana,Teslim Edildi,2025-06-02,2025-06-05
KRG-1266,1266,Mehmet D.,Balıkesir,Teslim Edildi,2025-06-03,2025-06-04
KRG-1267,1267,Cemre Y.,Ankara,Teslim Edildi,2025-06-02,2025-06-03
KRG-1268,1268,Ahmet Y.,Ankara,Teslim Edildi,2025-06-03,2025-06-04
KRG-1269,1269,Cemre Y.,Kocaeli,Teslim Edildi,2025-06-03,2025-06-06
KRG-1270,1270,Elif S.,Eskişehir,Teslim Edildi,2025-06-04,2025-06-06
KRG-1271,1271,Zeynep C.,Adana,Teslim Edildi,2025-06-04,2025-06-07
KRG-1272,1272,Cemre Y.,İstanbul,Teslim Edildi,2025-06-04,2025-06-05
KRG-1273,1273,Mehmet D.,Antalya,Teslim Edildi,2025-06-04,2025-06-06
KRG-1274,1274,Burak T.,İzmir,Teslim Edildi,2025-06-04,2025-06-05
KRG-1275,1275,Ali M.,Adana,Teslim Edildi,2025-06-04,2025-06-07
KRG-1276,1276,Burak T.,İstanbul,Teslim Edildi,2025-06-04,2025-06-07
KRG-1277,1277,Elif S.,Samsun,Teslim Edildi,2025-06-03,2025-06-05
KRG-1278,1278,Burak T.,Antalya,Teslim Edildi,2025-06-04,2025-06-05
KRG-1279,1279,Mehmet D.,Samsun,Teslim Edildi,2025-06-04,2025-06-05
KRG-1280,1280,Ayşe K.,Eskişehir,Teslim Edildi,2025-06-04,2025-06-06
KRG-1281,1281,Burak T.,Adana,Teslim Edildi,2025-06-04,2025-06-07
KRG-1282,1282,Elif S.,Bursa,Teslim Edildi,2025-06-03,2025-06-04
KRG-1283,1283,Ayşe K.,Adana,Teslim Edildi,2025-06-03,2025-06-04
KRG-1284,1284,Mehmet D.,Bursa,Teslim Edildi,2025-06-05,2025-06-08
KRG-1285,1285,Cemre Y.,İzmir,Teslim Edildi,2025-06-04,2025-06-07
KRG-1286,1286,Zeynep C.,Kocaeli,Teslim Edildi,2025-06-04,2025-06-05
KRG-1287,1287,Cemre Y.,Samsun,Teslim Edildi,2025-06-05,2025-06-07
KRG-1288,1288,Mehmet D.,Kocaeli,İade Teslim Alındı,2025-06-05,2025-06-08
KRG-1289,1289,Caner B.,Samsun,Teslim Edildi,2025-06-05,2025-06-07
KRG-1290,1290,Zeynep C.,Kocaeli,Teslim Edildi,2025-06-04,2025-06-05
KRG-1291,1291,Ayşe K.,Ankara,Teslim Edildi,2025-06-05,2025-06-07
KRG-1292,1292,Cemre Y.,Adana,Teslim Edildi,2025-06-04,2025-06-07
KRG-1293,1293,Zeynep C.,Samsun,Teslim Edildi,2025-06-05,2025-06-07
KRG-1294,1294,Ali M.,İzmir,Teslim Edildi,2025-06-04,2025-06-06
KRG-1295,1295,Ayşe K.,Adana,Teslim Edildi,2025-06-05,2025-06-07
KRG-1296,1296,Zeynep C.,Kocaeli,Teslim Edildi,2025-06-05,2025-06-08
KRG-1297,1297,Elif S.,Antalya,Teslim Edildi,2025-06-04,2025-06-06
KRG-1298,1298,Cemre Y.,İstanbul,Teslim Edildi,2025-06-04,2025-06-06
KRG-1299,1299,Elif S.,Ankara,Teslim Edildi,2025-06-05,2025-06-07
KRG-1300,1300,Cemre Y.,İzmir,Teslim Edildi,2025-06-05,2025-06-07
KRG-1301,1301,Elif S.,Antalya,Teslim Edildi,2025-06-06,2025-06-09
KRG-1302,1302,Mehmet D.,Samsun,Teslim Edildi,2025-06-06,2025-06-09
KRG-1303,1303,Burak T.,Balıkesir,Teslim Edildi,2025-06-05,2025-06-07
KRG-1304,1304,Ali M.,Ankara,Teslim Edildi,2025-06-05,2025-06-08
KRG-1305,1305,Ahmet Y.,Balıkesir,Teslim Edildi,2025-06-05,2025-06-07
KRG-1306,1306,Zeynep C.,Bursa,İade Teslim Alındı,2025-06-05,2025-06-06
KRG-1307,1307,Caner B.,Ankara,Teslim Edildi,2025-06-06,2025-06-07
KRG-1308,1308,Ali M.,İstanbul,Teslim Edildi,2025-06-06,2025-06-07
KRG-1309,1309,Mehmet D.,Samsun,Teslim Edildi,2025-06-05,2025-06-07
KRG-1310,1310,Cemre Y.,İzmir,Teslim Edildi,2025-06-06,2025-06-08
KRG-1311,1311,Fatma A.,Kocaeli,Teslim Edildi,2025-06-05,2025-06-07
KRG-1312,1312,Fatma A.,Adana,Teslim Edildi,2025-06-06,2025-06-08
KRG-1313,1313,Fatma A.,Balıkesir,İade Teslim Alındı,2025-06-06,2025-06-08
